strategy,kill_frac,seed,coverage,detection,mission_time
centralized,0.0,200,0.9440559440559441,1.0,282
centralized,0.0,201,0.9657444005270093,1.0,376
centralized,0.0,202,0.9476137399939204,1.0,289
centralized,0.0,203,0.9508163472264476,1.0,349
centralized,0.0,204,0.9845794866592269,1.0,337
centralized,0.0,205,0.9962470838827467,1.0,432
centralized,0.0,206,0.9838824125696908,1.0,256
centralized,0.0,207,0.9809504509068802,1.0,336
centralized,0.0,208,0.9708117968987534,1.0,300
centralized,0.0,209,0.976904376012966,1.0,295
decentralized,0.0,200,0.9933110367892977,1.0,395
decentralized,0.0,201,0.9785142393838046,1.0,383
decentralized,0.0,202,0.9814570878508461,1.0,279
decentralized,0.0,203,0.9888449447317716,1.0,495
decentralized,0.0,204,0.9871157553008014,1.0,340
decentralized,0.0,205,0.9863069276802922,1.0,269
decentralized,0.0,206,0.9788139888494678,1.0,251
decentralized,0.0,207,0.9863208025129192,1.0,309
decentralized,0.0,208,0.9396979831762441,1.0,320
decentralized,0.0,209,0.9521880064829822,1.0,258
stigmergy,0.0,200,0.728387554474511,0.7333333333333333,-1
stigmergy,0.0,201,0.771967163271511,0.6,-1
stigmergy,0.0,202,0.859256256966258,0.8666666666666667,-1
stigmergy,0.0,203,0.5606936416184971,0.5,-1
stigmergy,0.0,204,0.791112914679923,0.7333333333333333,-1
stigmergy,0.0,205,0.9896541231362207,1.0,615
stigmergy,0.0,206,0.8020273694880892,0.9,-1
stigmergy,0.0,207,0.7087850846083696,0.7333333333333333,-1
stigmergy,0.0,208,0.7562582345191041,0.8333333333333334,-1
stigmergy,0.0,209,0.6407009724473258,0.5333333333333333,-1
centralized,0.25,200,0.937164284990372,1.0,372
centralized,0.25,201,0.9805411979325023,1.0,379
centralized,0.25,202,0.9535920559327186,1.0,367
centralized,0.25,203,0.9974647601663117,1.0,455
centralized,0.25,204,0.9799127523587299,1.0,371
centralized,0.25,205,0.9799168272644284,1.0,456
centralized,0.25,206,0.9855043081601622,1.0,404
centralized,0.25,207,0.9863208025129192,1.0,420
centralized,0.25,208,0.9567244349853046,1.0,551
centralized,0.25,209,0.9785251215559158,1.0,390
decentralized,0.25,200,0.9987838248707814,1.0,557
decentralized,0.25,201,1.0,1.0,523
decentralized,0.25,202,0.9889553146215422,1.0,438
decentralized,0.25,203,0.9795152621437988,1.0,498
decentralized,0.25,204,0.9899563761793649,1.0,469
decentralized,0.25,205,0.9938127599147987,1.0,431
decentralized,0.25,206,0.9490116573745565,1.0,310
decentralized,0.25,207,0.9704124024723882,1.0,495
decentralized,0.25,208,0.9175027870680045,1.0,440
decentralized,0.25,209,0.9858184764991896,1.0,339
stigmergy,0.25,200,0.7221039829735482,0.7666666666666667,-1
