condition,scenario,level,K,searchers,coverage,detection,connectivity
range r=12,range,12,0,12,0.259,0.258,0.918
range r=12,range,12,1,11,0.436,0.45,0.854
range r=12,range,12,2,10,0.632,0.642,0.789
range r=12,range,12,3,9,0.809,0.892,0.854
range r=12,range,12,4,8,0.894,0.992,0.855
range r=12,range,12,5,7,0.876,0.933,0.759
range r=12,range,12,6,6,0.886,0.933,0.861
range r=12,range,12,7,5,0.863,0.925,0.819
range r=9,range,9,0,12,0.19,0.2,0.925
range r=9,range,9,1,11,0.282,0.292,0.895
range r=9,range,9,2,10,0.427,0.417,0.815
range r=9,range,9,3,9,0.569,0.567,0.569
range r=9,range,9,4,8,0.771,0.792,0.542
range r=9,range,9,5,7,0.864,0.883,0.749
range r=9,range,9,6,6,0.821,0.825,0.694
range r=9,range,9,7,5,0.778,0.775,0.761
deadzone 20%,dead_zone,0.2,0,12,0.889,0.942,0.534
deadzone 20%,dead_zone,0.2,1,11,0.879,0.983,0.616
deadzone 20%,dead_zone,0.2,2,10,0.931,0.975,0.599
deadzone 20%,dead_zone,0.2,3,9,0.894,0.892,0.411
deadzone 20%,dead_zone,0.2,4,8,0.842,0.908,0.51
deadzone 20%,dead_zone,0.2,5,7,0.793,0.817,0.503
deadzone 20%,dead_zone,0.2,6,6,0.824,0.858,0.547
deadzone 20%,dead_zone,0.2,7,5,0.789,0.817,0.503
deadzone 30%,dead_zone,0.3,0,12,0.819,0.833,0.164
deadzone 30%,dead_zone,0.3,1,11,0.872,0.908,0.319
deadzone 30%,dead_zone,0.3,2,10,0.868,0.858,0.35
deadzone 30%,dead_zone,0.3,3,9,0.808,0.783,0.328
deadzone 30%,dead_zone,0.3,4,8,0.795,0.783,0.376
deadzone 30%,dead_zone,0.3,5,7,0.72,0.742,0.4
deadzone 30%,dead_zone,0.3,6,6,0.637,0.658,0.483
deadzone 30%,dead_zone,0.3,7,5,0.531,0.55,0.513
